ts	phase	decision	why	evidence	result
2026-08-15T18:27:20Z	frame	Done is a visible in-flight morph on every core open and back, not an AX timing	The last NP video was a hard cut while AX said 407ms. Frame-diff is the ruler.	AGENTS.md view-transition contracts; output/verify-coda/20260815T1812Z-np-shell-video/now-playing/stills/open-08.jpg to open-10.jpg	framed
2026-08-15T18:27:20Z	frame	Scope is 16 CodaViewTransitionKind pairs plus sidebar page motion. NowPlayingView radio WIP stays out.	Dirty tree has unrelated library work. Do not mix it in.	src/viewTransitions.ts CodaViewTransitionKind; git status	framed
2026-08-15T18:27:21Z	frame	Rigor is high. Skip architect because the product contract already names the kinds.	The remaining choice is subtract the NP shell if unique names still hard-cut.	figure-it-out Phase B architect skip	skip architect
2026-08-15T18:27:21Z	design	Sequence is harness, NP hard-cut, then the rest of the matrix one surface at a time.	Riskiest unknown first. AX timings already lied.	.audit/prove-motion-frames.py	designed
2026-08-15T18:29:11Z	harness	Tile-max MAD on 20fps window captures is the motion gate. 6 consecutive tiles above 4.0 MAD is in-flight.	Whole-frame MAD hid a flying cover. AX timings hid hard cuts.	.audit/prove-motion-frames.py	built
2026-08-15T18:29:11Z	baseline	Current NP shell open/back is a hard cut. Pre-shell NP back had 6 in-flight frames.	Shell experiment is the regression, not ReplayKit.	output/verify-coda/20260815T1812Z-np-shell-video/now-playing/np-open-and-back.mov NOT VERIFIED; 20260815T1535Z-np-diagonal/np-back.mov VERIFIED	NOT VERIFIED
2026-08-15T18:29:11Z	experiment	Suppress surviving compact player view-transition-names after the Motion update snapshot.	Dock stays mounted, so footer and art keep the same names as the page. WebKit skips the morph.	src/viewTransitionSources.ts; src/motionViewTransitions.ts flushSync then suppress; viewTransitions.test.ts	unit tests green; desktop unmeasured
2026-08-15T18:36:42Z	experiment	Suppressing names did not restore NP motion. Shell open/back stayed a hard cut.	Dock stays in the new snapshot. Duplicate shell names skip the morph.	output/verify-coda/20260815T1828Z-np-suppress/now-playing/np-open-and-back.mov in_flight=4	NOT VERIFIED
2026-08-15T18:36:42Z	experiment	Removed the bar-to-page pair. Header/transport/details add() deadlocked NP open until those extras were removed too.	Motion was waiting on dest-only selectors before the update ran.	src/motionViewTransitions.ts configureNowPlayingTransition artwork+title only	NP open restored 349ms
2026-08-15T18:36:42Z	measure	Art-only NP open/back has 6 consecutive in-flight frames. Gate VERIFIED.	Same ruler as the pre-shell reverse that the user could see.	output/verify-coda/20260815T1836Z-np-art-only/now-playing/np-open-and-back.mov	VERIFIED
