ts	phase	decision	why	evidence	result
2026-08-15T01:18:31Z	frame	Scope is Coda Dev motion and navigation feel, not a visual redesign	Experience first. The user complaint is sluggish animations, loading, and flow. NowPlayingView WIP stays out of this run.	AGENTS.md view-transition contracts; git status NowPlayingView.tsx	framed
2026-08-15T01:18:31Z	frame	Predicate: destination observable under 500ms, fail if origin remains after 2s, Back restores context, reduced-motion stays instant	Prove it works on the real desktop app. AX title or named control is the ruler because Screen Recording is unavailable.	.cursor/skills/verify-coda/SKILL.md	open
2026-08-15T01:19:20Z	baseline	Album open 141ms, album Back 318ms, Now Playing 316ms, Discover 211ms, Collection 409ms, artist open 475ms	AX title or named control on Coda Dev pid 73883. Album hang from the earlier verify run did not reproduce. Artist is the slow shared-element path.	output/verify-coda/20260815T0118Z-baseline	VERIFIED
2026-08-15T01:19:20Z	design	Cap artist and other detail morphs to the album 220/190/130 springs instead of the uncapped 300ms profile	Album is already capped and feels snappy. Artist still uses the full shared artwork spring plus detail surface, which matches the 475ms title commit.	src/motionViewTransitions.ts configureMotionTransition artist-detail	hypothesis
2026-08-15T01:22:03Z	experiment	Capped artist/discover/daily/radio/playlist morphs to album 220/190/130 springs	Album already used those caps. Uncapped 300ms surface enter was the leftover sluggish choreography. interrupt wait holds the next click until that animation finishes.	src/motionViewTransitions.ts cappedDetail* helpers; src/viewTransitions.test.ts 71 passed	kept for feel; AX artist title still 479ms
2026-08-15T01:22:03Z	measure	Artist open AX title 479ms after caps vs 475ms before	Window title waits on the artist route, not the spring. ArtistRoutePending can show Opening artist before the page is ready. Observation method is title commit, not compositor paint.	output/verify-coda/20260815T0121Z-after-caps/artist-open.txt	INCONCLUSIVE for morph duration; loading remains
2026-08-15T01:22:04Z	diagnose	Artist route stays pending until useArtistRouteScreenResource resolves	Album opens from already-visible card data. Artist groups the library after navigation, so the morph can wait on grouping plus the 8-frame virtualizer on the way back.	src/features/library/LibraryRouteRuntime.ts:54; src/routes/collection/artists/$artistKey.tsx pendingComponent	open
2026-08-15T01:28:00Z	measure	Album open after Back hung 8s three times (appeared=false)	AXPress hit Open HX.26 but title stayed Communitism and Back never appeared. Same pid 73883 with no reload proof. Motion interrupt wait plus a stuck Loading HX.26 overlay both explain a dead click.	output/verify-coda/20260815T0128Z-album-lag	FAIL origin remained
2026-08-15T01:30:00Z	diagnose	First album spinner is loadingAlbumId stuck on HX.26	Dump had Loading HX.26 and Open HX.26 together. AlbumCard blocks onClick while loading. beforeCommit can set the id after ensureTracks finally cleared it when the view transition commits late.	output/verify-coda/20260815T0130Z-reload/02-has-loading-hx26.txt	hypothesis
2026-08-15T01:31:20Z	experiment	Ignore late beforeCommit after cold hydration settles	A ref tracks the in-flight cold album. finally clears it. A hung or late VT commit can no longer turn the card spinner back on.	src/features/library-actions/useLibraryActionsController.ts; 5 controller tests passed	kept
2026-08-15T01:31:35Z	verify	Full webview reload on pid 73883 before claiming the fix	Vite logged page reload index.html. Cmd+R osascript also sent. Post-reload doctor still pid 73883 connected=true. Loading HX.26 was false.	output/verify-coda/20260815T0131Z-reload/00-post-reload-doctor.txt	reload recorded
2026-08-15T01:32:10Z	measure	Open 135.7ms then 115.6ms; Back 330.5ms then 326.9ms	Title changed to HX.26. Back appeared and Open HX.26 left. Back restored Open HX.26 and cleared Back. No Loading HX.26. Search collection was not used as proof. n=1 AX. Reduced-motion not run.	output/verify-coda/20260815T0131Z-reload	measured
2026-08-15T01:32:10Z	audit	configuredVisualDuration page kinds already use profile.page	kind.startsWith(page) returns max(exit, enter+delay) from the motion profile. The 220ms return is only the unknown-kind fallback. No page-duration change in this spinner/settle pass.	src/motionViewTransitions.ts:1337	not accidental
2026-08-15T01:40:00Z	audit	Inventory of Coda motion surfaces against AGENTS.md contracts	Detail morphs use animateView. Primary destinations use live library-pane animate, not VT, so the virtualized Collection is not snapshotted. Queue/dialogs/toasts/selection rails use AnimatePresence and layoutId. Reduced-motion CSS exists for overlays and marquee.	src/viewTransitions.ts; src/motionViewTransitions.ts; src/styles.css	inventory
2026-08-15T01:40:20Z	experiment	Resolve artist screens from catalog groups instead of waiting on routeInput	Album lookup already uses visible catalog data. Artist pending was a staleness guard that captured Opening artist as the morph destination. isDetailMorphKind is now an exhaustive switch.	src/features/library/useLibraryRouteRuntimeAdapter.ts; src/motionViewTransitions.ts; adapter tests 5 passed	kept
2026-08-15T01:40:45Z	measure	Artist open AX title 520.3ms after group lookup. Opening artist was absent after arrival. Album open 113.3ms, Back 320.6ms	n=1 AX on pid 73883. Title still slower than album. Pending flash during the 520ms was not observed after arrival. Reduced-motion and compositor paint unmeasured. Collection All releases restored.	output/verify-coda/20260815T0140Z-artist-hitch	measured; artist title still slow
2026-08-15T01:47:00Z	verify	Full webview reload on pid 73883 after hung album Back	HMR cannot reset motion-dom queue. Vite logged page reload index.html. Doctor still pid 73883 connected=true.	output/verify-coda/20260815T0147Z-reload-measure/00-doctor.txt	reload recorded
2026-08-15T01:47:30Z	measure	After reload: album open 122.1ms then 127.4ms; album Back 323.5ms then 320.8ms; artist from album 303.0ms; artist Back to album 287.0ms	Predicates: album open=title HX.26 or (Back and Open HX.26 gone). Artist=click-title Knxwledge waitTitle=Knxwledge. Artist Back=click-title Back waitTitle=HX.26 not Open HX.26. Hung Back did not reproduce. Opening artist absent. n=1 AX.	output/verify-coda/20260815T0147Z-reload-measure	measured; hung Back absent after reload
2026-08-15T01:50:00Z	audit	Browse controller has no duplicate functions; matchingBrowseMode vs presentationBrowseMode are distinct	Prettier already applied. Catalog skip maps artists to releases for grouping. Tests already green before this pass.	src/features/library/useLibraryBrowseController.ts	verified
2026-08-15T01:50:45Z	experiment	Stop forcing mode=artists on artist navigate; keep origin browse mode	Catalog identity no longer needs artists mode. Forcing it filtered visibleAlbums and sent Back to Artists grouping. Artists tab still sets mode=artists via ArtistCard. TDD then impl.	libraryArtistRouteSearch; prepareArtistSearch; commitNavigation; 52 tests passed	kept
2026-08-15T01:51:40Z	measure	After mode preserve: album 145.9ms / Back 324.5ms; artist 306.9ms; artist Back 322.1ms; album Back restored Open HX.26 without All releases click	Artist title still ~300ms. Mode preserve did not move AX title. It did restore All releases on Back. n=1 AX pid 73883 after 8:50:56 reload.	output/verify-coda/20260815T0151Z-mode-preserve	artist title still slow; Back restore improved
2026-08-15T01:53:00Z	experiment	Virtualize artist release grids at 12 items	Knxwledge dump had ~52 Open album links, under the collection threshold of 80, so first paint mounted every card during the morph.	ArtistScreen ARTIST_RELEASE_VIRTUALIZATION_THRESHOLD=12	reverted
